id,native,native_norm,native_lang,type,created_at,updated_at
156,نادر,نادر,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
157,نادية,ناديه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
158,نبيل,نبيل,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
159,نبيهة,نبيهه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
160,نجوى,نجوى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
161,نجيب,نجيب,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
162,نجيبة,نجيبه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
163,نرجس,نرجس,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
164,نرمين,نرمين,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
165,نضال,نضال,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
166,نعمان,نعمان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
167,نعيمة,نعيمه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
168,نوال,نوال,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
169,نور الدين,نور الدين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
170,هاجر,هاجر,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
171,هارون,هارون,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
172,هاني,هاني,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
173,هشام,هشام,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
174,هيام,هيام,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
175,هيثم,هيثم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
176,هيفاء,هيفاء,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
177,وائل,وائل,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
178,وسيم,وسيم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
179,وليد,وليد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
180,ياسمين,ياسمين,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
181,ياسين,ياسين,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
182,يسر,يسر,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
183,يوسف,يوسف,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
184,الأمجد,الامجد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
185,الحمداني,الحمداني,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
186,فاطمي,فاطمي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
187,أنس,انس,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
